Course,Year,Semester,Module
B.Sc.Computer and Digital Media,1,Sem1,Introduction to Digital Graphics & Design
B.Sc.Computer and Digital Media,1,Sem1,Web Design & Development
B.Sc.Computer and Digital Media,1,Sem1,Digital Narrative
B.Sc.Computer and Digital Media,1,Sem1,Software Developement
B.Sc.Computer and Digital Media,1,Sem2,Skills & Innovation
B.Sc.Computer and Digital Media,1,Sem2,Digital Media & Social Computing
B.Sc.Computer and Digital Media,1,Sem2,Maths for Computing 1 & 2 
B.Sc.Computer and Digital Media,1,Sem2,Business & Analytical Information Systems
B.Sc.Computer and Digital Media,2,Sem1,Audio Video Design & Production 1
B.Sc.Computer and Digital Media,2,Sem1,Applied Digital Media 1&2
B.Sc.Computer and Digital Media,2,Sem1,IT
B.Sc.Computer and Digital Media,2,Sem1,Professional Skills
B.Sc.Computer and Digital Media,2,Sem2,Database Mgt
B.Sc.Computer and Digital Media,2,Sem2,Object Oriented Computing 1
B.Sc.Computer and Digital Media,2,Sem2,Appliedn Networking Technologies
B.Sc.Computer and Digital Media,2,Sem2,System Analysis
B.Sc.Computer and Digital Media,2,Sem2,Project Mgt
B.Sc.Computer and Digital Media,3,Sem1,Mobile Web App Design Develop1 & 2
B.Sc.Computer and Digital Media,3,Sem1,Dynamic Web Development
B.Sc.Computer and Digital Media,3,Sem1,Object Oriented Computing 2
B.Sc.Computer and Digital Media,3,Sem1,Professional Practice
B.Sc.Computer and Digital Media,3,Sem1,3D Modelling and Animation
B.Sc.Computer and Digital Media,3,Sem2,Dynamic Web Development
B.Sc.Computer and Digital Media,3,Sem2,Digital Marketing Web Analytics
B.Sc.Computer and Digital Media,3,Sem2,Audio Video
B.Sc.Computer and Digital Media,3,Sem2,Design & Production 2
B.Sc.Computer and Digital Media,3,Sem2,Mobile Applications Development
B.Sc.Computer and Digital Media,4,Sem1,3D Virtual World
B.Sc.Computer and Digital Media,4,Sem1,Media and Technology Convergence
B.Sc.Computer and Digital Media,4,Sem1,Group Project
B.Sc.Computer and Digital Media,4,Sem1,Virtual and Augmented Reality
B.Sc.Computer and Digital Media,4,Sem1,Graphics & Data Visualisation
B.Sc.Computer and Digital Media,4,Sem1,Semantic Web & Linked Data
B.Sc.Computer and Digital Media,4,Sem2,Software Testing Social Web/Digital Media Strategy
B.Sc.Computer and Digital Media,4,Sem2,Secure Web Applications
B.Sc.Computer and Digital Media,4,Sem2,Advanced Databases
B.Sc.Computer and Digital Media,4,Sem2,Entrepreneurship
B.Sc.Computer and Digital Media,4,Sem2,Data Representation and Querying
B.Sc.Computing SoftWare Development,1,Sem1&2,Software Design & Program Development
B.Sc.Computing SoftWare Development,1,Sem1&2,Graphical User Interface & Web Development
B.Sc.Computing SoftWare Development,1,Sem1&2,Essential Mathematics for Computing
B.Sc.Computing SoftWare Development,1,Sem1&2,Leaming and Innovation Skills
B.Sc.Computing SoftWare Development,1,Sem1&2,Computer Technology
B.Sc.Computing SoftWare Development,1,Sem1&2,Introduction to Digital Graphics & Design [el]
B.Sc.Computing SoftWare Development,1,Sem1&2,E-Business Administration [el]
B.Sc.Computing SoftWare Development,2,Sem1,Software Design & Program Development 2
B.Sc.Computing SoftWare Development,2,Sem1,Intemet & Mobile Application Development Systems Analysis Methods
B.Sc.Computing SoftWare Development,2,Sem1,Applied Networking Technology
B.Sc.Computing SoftWare Development,2,Sem1,IT Professional
B.Sc.Computing SoftWare Development,2,Sem1,Procedural Programming
B.Sc.Computing SoftWare Development,2,Sem1,Mobile Applications Development
B.Sc.Computing SoftWare Development,2,Sem2,Data Structures and Algorithms
B.Sc.Computing SoftWare Development,2,Sem2,Database Management
B.Sc.Computing SoftWare Development,2,Sem2,Project Management
B.Sc.Computing SoftWare Development,2,Sem2,Applied Networking Technology 2
B.Sc.Computing SoftWare Development,2,Sem2,Object Oriented Programming [el]
B.Sc.Computing SoftWare Development,2,Sem2,Accounting Information Systems [el]
B.Sc.Computing SoftWare Development,2,Sem2,Advanced Procedural Programming [el]
B.Sc.Computing SoftWare Development,3,Sem1,Operating Systems 1
B.Sc.Computing SoftWare Development,3,Sem1,Software Quality Management
B.Sc.Computing SoftWare Development,3,Sem1,Data Centric RAD
B.Sc.Computing SoftWare Development,3,Sem1,Virtual and Augmented Reality
B.Sc.Computing SoftWare Development,3,Sem1,Data Representation and Querying
B.Sc.Computing SoftWare Development,3,Sem1,Graphics Programming
B.Sc.Computing SoftWare Development,3,Sem2,Mobile Applications Development 2
B.Sc.Computing SoftWare Development,3,Sem2,Professional Practice in IT
B.Sc.Computing SoftWare Development,3,Sem2,Software Testing
B.Sc.Computing SoftWare Development,3,Sem2,Server Side RAD
B.Sc.Computing SoftWare Development,3,Sem2,Database Management Systems
B.Sc.Computing SoftWare Development,3,Sem2,Advanced Graphics Programmmg [el]
B.Sc.Computing SoftWare Development,3,Sem2,Graph Theory [el]
B.Sc.(Hons)Computing SoftWare Development,4,Sem1,Research Methods in Computing & IT
B.Sc.(Hons)Computing SoftWare Development,4,Sem1,Mobile Applications Development 3
B.Sc.(Hons)Computing SoftWare Development,4,Sem1,Distnbuted Systems
B.Sc.(Hons)Computing SoftWare Development,4,Sem1,Advanced Object Oriented Software Development
B.Sc.(Hons)Computing SoftWare Development,4,Sem1,Semantic Web and Linked Data [el]
B.Sc.(Hons)Computing SoftWare Development,4,Sem1,Entrepreneurship [el]
B.Sc.(Hons)Computing SoftWare Development,4,Sem2,Applied Project and Minor Dissertation
B.Sc.(Hons)Computing SoftWare Development,4,Sem2,Software Engineering
B.Sc.(Hons)Computing SoftWare Development,4,Sem2,Gesture Based UI Development
B.Sc.(Hons)Computing SoftWare Development,4,Sem2,Theory of Algorithms
B.Sc.(Hons)Computing SoftWare Development,4,Sem2,Artificial Intelgence
